"from_user_id","to_user_id","betweenness"
"23","10",180
"34","6",1398
"6","16",266.14652803337
"36","23",6.98333333333333
"38","28",9
"37","35",466
"18","14",41.5758382776066
"28","50",96.75
"61","65",180
"14","61",1778.12137185337
"71","14",466
"14","75",23.2819458604318
"83","34",467
"18","14",41.5758382776066
"18","75",0.2
"18","75",0.2
"57","34",467
"101","97",2
"90","95",12
"96","98",56.5733577089362
"35","49",32.9717598544866
"103","6",393.088744588745
"14","6",825.110266869314
"12","6",637.853454646695
"61","105",180
"16","75",1.61142191142191
"6","110",2032.03175565893
"12","14",129.657142857143
"6","111",180
"61","21",180
"12","87",47.2691415869321
"14","75",23.2819458604318
"114","90",2
"36","23",6.98333333333333
"59","98",157.819804684226
"6","74",173
"59","87",114.531813275508
"14","75",23.2819458604318
"14","61",1778.12137185337
"61","14",391.070449846017
"16","61",424.751455951456
"16","119",5.30263157894737
"38","24",511.025
"27","38",30.3746173845941
"46","6",475.679817417253
"24","75",12.3167795221907
"36","24",44.6
"18","46",189.679817417253
"18","95",171
"120","14",521.126407174034
"14","26",53.1063093994128
"24","91",180
"16","75",1.61142191142191
"23","38",203.650382615405
"36","110",106.314285714286
"14","6",825.110266869314
"6","132",180
"18","49",147.028240145513
"36","23",6.98333333333333
"14","7",147.833333333333
"12","7",4.58333333333333
"61","53",180
"9","61",465
"61","87",200.947243176081
"61","23",1192.93570007573
"14","119",13.75
"61","56",180
"14","61",1778.12137185337
"28","176",182
"14","75",23.2819458604318
"61","18",3789.86878224954
"16","120",118.869596680123
"61","75",3.22284382284382
"14","12",1296.05832632836
"174","193",1
"174","14",466
"195","27",1045.17729066916
"219","218",1
"103","218",1
"61","195",70.6132881992923
"6","195",688.56400246987
"152","14",91.3108230814602
"238","61",466
"61","7",27.5833333333333
"18","75",0.2
"87","75",3.74819803852062
"251","49",1
"152","50",1
"219","261",1
"36","265",1
"92","258",181
"18","261",180
"92","90",191
"18","273",180
"24","61",853.579203568595
"24","61",853.579203568595
"92","28",30
"92","247",181
"280","50",1
"188","191",1
"12","8",179
"12","264",180
"183","22",1
"18","14",41.5758382776066
"18","75",0.2
"14","191",79.5317224770314
"61","75",3.22284382284382
"61","75",3.22284382284382
"103","305",1
"103","143",1
"145","236",180
"6","61",1201.51067735163
"6","189",20.7944444444444
"18","322",1
"18","316",180
"326","303",1
"328","167",2
"18","74",7
"224","327",180
"36","28",2.25
"36","328",5
"59","336",69.5639489001434
"313","336",2.66666666666667
"339","59",462
"339","181",1.76666666666667
"224","336",10.5021595262975
"224","336",10.5021595262975
"23","28",2
"61","342",33.5833333333333
"97","336",2
"152","8",1
"103","350",1
"61","322",179
"103","103",0
"61","359",180
"61","369",180
"61","367",180
"372","59",466
"61","224",378.522101122998
"328","224",469
"61","335",180
"6","374",180
"375","364",466
"59","310",63.4501217865705
"61","28",414.5
"61","209",180
"348","364",466
"23","50",84.25
"61","9",179
"18","75",0.2
"385","388",180
"397","397",0
"400","310",1
"357","402",1
"61","405",90
"61","405",90
"61","310",116.54987821343
"348","416",1
"410","419",182
"152","365",1
"61","426",180
"6","25",170.882034632035
"246","434",180
"385","431",180
"96","437",180
"6","432",180
"253","96",1552.12276928733
"385","410",325.606837606838
"342","418",16
"27","336",3.1677464298154
"61","448",38.1599268547544
"152","448",1
"6","448",18.9611111111111
"253","448",94.3328754578755
"253","452",180
"152","468",1
"468","448",155
"468","448",155
"6","468",178
"468","448",155
"477","255",226.127408539174
"27","485",179
"357","485",1
"23","96",489.985317460318
"103","320",1
"14","342",161.416666666667
"98","410",36.3931623931624
"496","392",34.132655750047
"448","496",1042.42613564596
"152","497",2
"496","59",302.853713144073
"496","59",302.853713144073
"152","496",46.8765724302883
"357","391",1
"496","339",534.766666666667
"496","502",180
"6","515",180
"516","513",1
"517","496",363.636379362811
"145","364",456.5
"152","253",15.9038461538462
"145","521",181.5
"152","527",101.302919444802
"103","364",36.4556277056277
"96","536",21.3963148979168
"96","313",181.666666666667
"385","120",116.256810493911
"27","96",172.560137085137
"496","527",370.683644330189
"527","200",180
"527","547",157.471544715447
"364","181",34.1055555555556
"550","59",466
"385","542",180
"496","364",254.725849002483
"59","557",180
"496","560",180
"385","563",180
"385","536",51.3744215805731
"61","569",21.3284552845528
"385","55",180
"527","496",1159.49106393026
"528","568",180
"527","527",0
"385","364",131.560310938725
"385","364",131.560310938725
"527","14",3000.26836366204
"527","569",156.671544715447
"385","364",131.560310938725
"96","224",69.389299366678
"59","385",1999.19545078577
"385","385",0
"385","392",6.98376623376623
"385","385",0
"496","59",302.853713144073
"527","528",1109.44273414709
"527","364",1207.1316637987
"385","385",0
"6","385",5351.80445607453
"6","496",373.166205855044
"527","527",0
"527","527",0
"496","527",370.683644330189
"61","527",1444.44779221443
"385","628",180
"59","637",4
"496","637",176
"635","650",993.357142857143
"385","635",707.357142857143
"385","652",180
"385","385",0
"103","150",1
"36","527",288.885714285714
"364","659",180
"385","385",0
"527","668",179
"528","392",28.4659890833804
"496","527",370.683644330189
"379","671",1
"528","477",1816.78563493104
"527","528",1109.44273414709
"528","672",73.7820308346624
"527","364",1207.1316637987
"496","677",75.6701427227743
"527","181",143.127777777778
"385","683",180
"385","685",162.678571428571
"385","527",352.856073365926
"689","75",1
"496","664",180
"692","686",1
"527","675",521.295721724878
"527","527",0
"675","527",4903.00041272163
"527","675",521.295721724878
"528","527",106.687545400053
"27","364",131.566666666667
"527","695",146.427777777778
"364","719",180
"527","721",180
"152","527",101.302919444802
"423","119",1
"103","364",36.4556277056277
"152","643",1
"364","253",1524.55179859136
"61","189",10.9
"6","61",1201.51067735163
"528","727",1
"6","727",25.5555555555556
"527","727",153.444444444444
"735","527",466
"423","727",1
"385","739",180
"385","745",61.8898818466898
"752","366",180
"752","319",180
"12","25",9.11796536796537
"27","725",180
"527","448",138.972222222222
"385","745",61.8898818466898
"527","759",180
"385","745",61.8898818466898
"752","765",180
"6","752",155.798518503275
"769","752",466
"708","752",465
"527","527",0
"752","672",106.217969165338
"752","772",180
"745","675",259.522365042788
"752","33",29.4033549783549
"752","708",179
"385","527",352.856073365926
"784","783",1
"752","753",106.159780704014
"675","790",60.3041176659598
"61","752",345.297586504951
"527","33",146.596645021645
"784","752",466
"99","549",1
"752","753",106.159780704014
"786","752",30.742123661071
"385","752",101.930986163595
"752","527",231.620303574273
"527","786",1510.06560352991
"527","497",358
"103","809",1
"752","677",104.329857277226
"477","526",180
"745","364",106.07364024864
"527","14",3000.26836366204
"786","33",2
"786","191",100.468277522969
"786","527",95.2709426895466
"527","821",180
"527","786",1510.06560352991
"745","364",106.07364024864
"752","753",106.159780704014
"752","364",272.139768169338
"786","830",180
"477","752",39.2485881765294
"527","752",1310.00314673888
"786","527",95.2709426895466
"786","527",95.2709426895466
"786","110",4401.30663937981
"527","844",180
"61","547",22.5284552845528
"792","527",381.650898738942
"675","753",39.4240640242111
"152","833",1
"857","753",2.10438524015991
"246","189",1
"675","857",541.005678622007
"385","857",175.795899698154
"12","385",503.526926498983
"869","668",1
"423","872",1
"857","873",180
"152","872",1
"876","850",1
"96","96",0
"527","94",180
"675","880",180
"35","92",756
"385","833",179
"103","889",1
"857","753",2.10438524015991
"857","536",107.22926352151
"385","75",5.85961994994253
"857","753",2.10438524015991
"869","753",157.444582147747
"675","908",123.737404833728
"908","527",1345.4979091254
"857","908",436.671430457006
"911","890",1
"224","527",763.711904761905
"675","753",39.4240640242111
"357","753",465
"23","924",180
"857","753",2.10438524015991
"385","753",144.53034323093
"857","753",2.10438524015991
"527","527",0
"477","675",38.4571123459049
"931","189",1
"857","753",2.10438524015991
"385","874",180
"6","387",33.2188433039119
"27","33",2
"857","753",2.10438524015991
"527","119",160.947368421053
"27","14",352.979725829726
"527","527",0
"857","753",2.10438524015991
"527","6",11718.5680310536
"869","857",307.555417852253
"949","857",466
"950","246",358
"950","737",186.025419025419
"675","950",114.469863469863
"61","950",59.7904761904762
"952","540",466
"527","961",180
"385","950",28.7996031746032
"950","527",460
"385","950",28.7996031746032
"752","527",231.620303574273
"527","950",490.704761904762
"96","527",1738.99880380564
"364","364",0
"786","786",0
"364","392",103.43382269904
"991","908",499.089073834662
"385","392",6.98376623376623
"857","997",180
"857","753",2.10438524015991
"27","753",33.2214285714286
"950","189",4.53888888888889
"786","752",30.742123661071
"35","12",973.892641618597
"857","753",2.10438524015991
"857","189",8.61230158730159
"857","753",2.10438524015991
"527","786",1510.06560352991
"152","715",1
"857","189",8.61230158730159
"675","753",39.4240640242111
"364","1015",180
"27","675",145.037518037518
"857","753",2.10438524015991
"27","753",33.2214285714286
"527","189",117.223015873016
"786","364",73.3807319305824
"857","753",2.10438524015991
"857","753",2.10438524015991
"477","527",155.357191810597
"364","396",59.3333333333335
"857","753",2.10438524015991
"364","396",59.3333333333335
"786","1033",180
"540","540",0
"857","540",178.083298603243
"27","1035",16.9166666666667
"145","1035",163.083333333333
"497","1038",181
"527","947",180
"152","527",101.302919444802
"857","675",462.947131631427
"396","364",930
"527","1054",164.197368421053
"18","463",368.920789779326
"857","857",0
"364","1051",180
"752","786",410.060736959236
"675","671",179
"1083","189",1
"364","145",910.22619047619
"12","364",303.897579781538
"385","1054",15.8026315789474
"403","527",434.477588201273
"752","527",231.620303574273
"1099","1097",1
"857","540",178.083298603243
"385","527",352.856073365926
"385","527",352.856073365926
"527","364",1207.1316637987
"1112","1097",1
"87","1032",181
"477","1122",13.8264411027569
"192","540",445.561312945677
"667","753",232.5
"675","753",39.4240640242111
"675","753",39.4240640242111
"675","753",39.4240640242111
"255","753",465.643674136321
"667","753",232.5
"857","753",2.10438524015991
"540","540",0
"527","527",0
"27","753",33.2214285714286
"527","1110",69.8619047619048
"527","527",0
"1154","35",466
"246","527",463
"27","921",15.9099268547544
"921","753",77.3171497584541
"477","527",155.357191810597
"527","1162",180
"477","1161",180
"477","364",69.032213965991
"527","1163",180
"529","527",466
"23","1173",180
"18","566",180
"857","540",178.083298603243
"1122","1193",422.992857142857
"1207","650",466
"675","921",99.3853362576281
"1126","1020",1
"1213","1213",0
"18","1193",120.007142857143
"1221","1202",1
"528","527",106.687545400053
"857","336",84.5973189507794
"6","1232",180
"786","1226",180
"540","1237",888.351085643504
"224","786",238.195176675177
"27","569",2
"1243","179",1
"857","857",0
"921","857",294.825210148897
"675","1262",180
"675","921",99.3853362576281
"1243","675",465
"650","75",4
"1269","26",1
"857","753",2.10438524015991
"650","1151",180
"364","675",921.019113442297
"921","695",32.5722222222222
"675","1277",46.6366867023674
"857","753",2.10438524015991
"857","1286",26.1748579730573
"1277","1286",187.160183314167
"1286","1277",19.8671295113156
"857","753",2.10438524015991
"921","1286",93.9063008431855
"1238","1238",0
"1193","1098",182
"857","753",2.10438524015991
"650","26",4.35714285714286
"1297","753",466
"1193","1296",182
"192","753",98.8067366847418
"496","921",131.851275097726
"921","675",1427.94579446865
"675","753",39.4240640242111
"540","753",24.9097796717761
"540","540",0
"768","1277",2.58333333333333
"540","1231",159.700153209737
"1277","921",731.888688127968
"1219","1346",3
"385","1219",257.793907481407
"385","1219",257.793907481407
"921","1354",180
"527","1358",150.196645021645
"650","1362",180
"385","1364",180
"527","1370",90
"1286","540",573.374212619094
"667","1377",1
"650","527",1665.73333333333
"385","1346",177
"768","1277",2.58333333333333
"768","675",397.136821511821
"528","527",106.687545400053
"1184","233",1
"768","753",20.002380952381
"1393","396",466
"753","1277",109.140207303313
"921","675",1427.94579446865
"753","1277",109.140207303313
"1231","1211",181
"675","1231",200.299846790263
"527","1370",90
"385","385",0
"385","1237",96.3427475677476
"1184","753",465
"921","753",77.3171497584541
"6","527",938.891277628819
"527","1455",264.55038995304
"385","1455",54.0334415584416
"630","630",0
"18","1457",5.5
"768","753",20.002380952381
"768","753",20.002380952381
"753","1277",109.140207303313
"675","1493",180
"527","1110",69.8619047619048
"921","891",180
"768","753",20.002380952381
"1455","1455",0
"768","1518",2
"527","753",988.296222796748
"921","1277",4.1243828635133
"364","1524",180
"385","1532",180
"650","753",177.266666666667
"379","1219",465
"1455","1455",0
"1535","650",466
"921","753",77.3171497584541
"921","1277",4.1243828635133
"527","1457",174.5
"385","1552",180
"1557","527",1241.2876984127
"1455","921",2522.33735631915
"1145","1455",464
"1559","1478",1
"1070","753",466
"753","1529",180
"6","179",179
"974","1237",466
"477","1622",360
"1626","6",1635.48197979931
"6","1633",60.0000000000001
"540","1631",180
"96","1623",180
"540","753",24.9097796717761
"1442","1647",1
"18","96",164.730028136859
"6","1633",60.0000000000001
"6","528",340.832778789987
"364","1626",1650.25384106988
"1622","1639",181
"385","35",1014.37235988736
"6","1626",256.828927534406
"1669","753",466
"1668","768",472
"496","753",87.5900207717119
"1426","1426",0
"6","192",258.368049630418
"18","1630",41.5230769230769
"496","753",87.5900207717119
"527","496",1159.49106393026
"792","364",84.3491012610578
"12","1697",180
"18","1237",4.97063357063357
"1711","1710",1
"1478","1478",0
"540","540",0
"1277","753",356.766972227079
"1455","1455",0
"768","1455",7.58333333333333
"18","1735",180
"1740","1739",2
"1630","1719",180
"768","753",20.002380952381
"6","1738",8.64664747017688
"1730","1750",1
"1723","75",11.7640609390609
"6","1738",8.64664747017688
"921","1752",9.36238176085376
"675","1752",56.3118803491968
"540","753",24.9097796717761
"753","1752",104.909071223283
"1455","1455",0
"540","753",24.9097796717761
"6","1738",8.64664747017688
"1793","1751",2
"18","1801",32.6205128205128
"1809","1807",1
"1723","1810",180
"1723","1237",30.9711904761905
"540","1689",180
"1626","1751",185.916666666667
"1809","1277",466
"1826","611",1
"1751","1752",10.4166666666667
"1723","1426",180
"1835","1833",181
"1723","1738",98.4598930481284
"6","1836",180
"6","1738",8.64664747017688
"1723","1169",74.759040959041
"1723","1845",180
"752","1237",327.223276070776
"540","540",0
"540","540",0
"752","1868",180
"1219","1219",0
"528","1872",180
"540","753",24.9097796717761
"540","1277",102.849502563663
"1455","1455",0
"521","1751",3.5
"1723","1883",180
"1237","1169",105.240959040959
"768","1752",1
"12","1898",11.6287572077046
"1723","527",2196.80412220185
"752","527",231.620303574273
"752","527",231.620303574273
"1723","752",348.998792834689
"496","1912",128.148717948718
"1723","1912",51.8512820512821
"528","1924",106.803227808031
"753","1938",180
"477","1801",145.379487179487
"527","1942",180
"540","1377",179
"1948","1947",466
"496","1953",180
"752","1952",180
"1723","752",348.998792834689
"1966","1557",466
"796","753",732.206437804867
"540","753",24.9097796717761
"753","540",2693.57357310041
"540","796",305.274987495933
"752","1933",175.8
"752","1817",180
"1723","1958",180
"6","752",155.798518503275
"752","2005",180
"752","1358",29.8033549783549
"364","387",112.145815626022
"768","2025",1
"768","2025",1
"1455","2046",180
"517","1947",102.363620637189
"1145","695",1
"1898","1898",0
"1083","2056",1
"768","1277",2.58333333333333
"1455","1455",0
"540","2074",179
"768","1934",2
"2088","1971",1
"12","2093",180
"1626","2095",23.4119047619048
"527","2095",156.588095238095
"768","1752",1
"23","2098",180
"675","753",39.4240640242111
"1557","1478",89.5
"1455","2106",79.5193636428931
"1557","2011",904.2
"540","2112",180
"527","1738",120.551157176157
"1557","1971",180
"2126","796",466
"540","753",24.9097796717761
"1626","2128",41.8673309420049
"1730","2049",1
"753","2106",100.480636357107
"1626","2128",41.8673309420049
"1557","2133",9.14166666666667
"1557","1738",9.27272727272727
"527","675",521.295721724878
"1557","2157",188.629780595222
"2165","2161",1
"1123","179",1
"2088","2185",1
"2088","1933",1
"18","715",179
"18","1626",169.118111319997
"1723","2128",43.629692867519
"1723","2133",170.858333333333
"2225","96",466
"1723","2222",283.584680748655
"1723","1110",40.2761904761905
"1723","540",326.913728564068
"2160","527",402.495238095238
"1723","527",2196.80412220185
"1723","540",326.913728564068
"1947","527",2609.77463847725
"1723","1723",0
"225","527",466
"1723","540",326.913728564068
"2222","1460",28.4245298659753
"1723","527",2196.80412220185
"3257","1738",3
"3257","2222",8
"1947","2222",128.654939217702
"1947","1460",89.2156361863338
"527","1986",180
"2252","1277",11.043137254902
"1947","2222",128.654939217702
"3261","3270",1
"18","3277",180
"2252","1723",429.703488668195
"1723","1723",0
"1460","1647",186
"1831","1723",11910.1322222604
"3282","3282",0
"18","2128",9.00595238095238
"1557","1478",89.5
"385","3264",180
"1997","2238",1
"3310","1723",466
"1723","527",2196.80412220185
"1997","527",466
"540","1460",82.7866113158969
